size,signal_type,iteration,vector_size,vFFT_mean_err,vFFT_max_err,vFFT_std_err,nFFT_mean_err,nFFT_max_err,nFFT_std_err,vIFFT_mean_err,vIFFT_max_err,vIFFT_std_err,nIFFT_mean_err,nIFFT_max_err,nIFFT_std_err,vFFT_mean_norm_err,nFFT_mean_norm_err,vIFFT_mean_norm_err,nIFFT_mean_norm_err
32,step,3,128,0.0004379345,0.0012976252,0.00032526357,0.00046040586,0.0010986328,0.0003120842,7.242964e-05,0.00020471815,4.401235e-05,8.321846e-05,0.00017360081,4.2767246e-05,1.2998763e-07,1.4092907e-07,1.3945737e-07,1.5709881e-07
32,step,4,128,0.00045604075,0.0010066176,0.0002957868,0.00042011577,0.0013147375,0.00033526533,7.458895e-05,0.00013647876,3.505538e-05,8.7886154e-05,0.00019301011,4.134716e-05,2.0619457e-07,1.8652464e-07,1.2271136e-07,1.4281494e-07
32,chirp,0,128,0.00046894408,0.0013810679,0.00029209838,0.000506764,0.0013047827,0.00033981696,8.425351e-05,0.00019301011,5.4339198e-05,9.206026e-05,0.00019540785,4.3375636e-05,1.7307511e-07,1.6378387e-07,1.2200982e-07,1.37002e-07
32,chirp,1,128,0.0006026172,0.0020132351,0.0003845041,0.0005458853,0.0015440809,0.00035288534,9.231306e-05,0.00022006538,5.3467793e-05,8.0553145e-05,0.00025895023,5.7746358e-05,2.437487e-07,2.2255718e-07,1.3036086e-07,1.1459411e-07
32,chirp,2,128,0.00049074943,0.0014648438,0.00036644816,0.00047765597,0.0015440809,0.00034835713,7.899628e-05,0.00018563117,5.287171e-05,7.537673e-05,0.00016784668,4.4342865e-05,1.197809e-07,1.1560742e-07,1.2044164e-07,1.261066e-07
32,chirp,3,128,0.00051098573,0.0013810679,0.00039500135,0.00052515534,0.0017605231,0.00042405145,7.619889e-05,0.00019301011,4.878151e-05,7.996367e-05,0.00018563117,3.828993e-05,1.8382156e-07,1.9441615e-07,1.5009093e-07,1.6568735e-07
32,chirp,4,128,0.00055383646,0.0020859384,0.00042124075,0.0005411104,0.0020859384,0.00045867517,7.745973e-05,0.00019540785,4.4282202e-05,6.295722e-05,0.00015258789,4.329083e-05,1.4390089e-07,1.4193103e-07,1.2856077e-07,1.0052635e-07
64,random,0,128,0.00088274456,0.0026855469,0.00059223705,0.00085356133,0.0027295751,0.0006406088,0.0001009855,0.00026995555,6.157972e-05,0.00010868613,0.00036748033,8.183358e-05,3.0651478e-07,3.0656975e-07,1.742905e-07,1.8926858e-07
64,random,1,128,0.00083302474,0.002629475,0.0004603073,0.00082282524,0.0024414062,0.00049049756,9.3686926e-05,0.00022006538,5.1304316e-05,9.602562e-05,0.00030517578,6.0822298e-05,1.963277e-07,1.898582e-07,1.3569127e-07,1.4166832e-07
64,random,2,128,0.00074438844,0.0019683247,0.000515693,0.000775538,0.0018633225,0.0004623215,8.310171e-05,0.0002664833,4.4601948e-05,7.53636e-05,0.00025895023,5.0302468e-05,1.4776379e-07,1.5204647e-07,1.4222368e-07,1.2242272e-07
